id,name,product,colour,quantity
114,Bob,paper,blue,29
115,Fred,card,orange,65
116,Ger,pen,pink,55
117,Fred,pen,orange,11
118,Eve,paint,black,88
119,Harriet,card,pink,24
120,Dan,paint,purple,54
121,Alice,eraser,purple,58
122,Ger,eraser,white,62
123,Ger,paint,purple,22
124,Bob,card,purple,79
125,Harriet,paper,black,29
126,Bob,pen,orange,66
127,Carol,pen,blue,91
128,Fred,paint,purple,60
129,Harriet,paint,red,23
130,Bob,pen,green,9
131,Fred,paint,black,85
132,Eve,card,white,37
133,Bob,card,black,72
134,Ger,paint,pink,14
135,Carol,paper,blue,64
136,Fred,paper,blue,61
137,Bob,pencil,orange,75
138,Ger,paper,green,19
139,Harriet,eraser,purple,89
140,Harriet,eraser,red,6
141,Carol,card,orange,15
142,Ger,pencil,blue,73
143,Alice,card,blue,37
144,Ger,pencil,blue,45
145,Dan,paint,orange,88
146,Dan,pen,red,81
147,Carol,pen,white,23
148,Ger,paint,green,8
149,Alice,paper,green,50
150,Dan,paint,blue,96
151,Bob,paper,orange,63
152,Ger,pen,white,98
153,Carol,card,green,36
154,Carol,pencil,red,80
155,Eve,paint,blue,90
156,Fred,paint,purple,26
157,Carol,pencil,pink,40
158,Harriet,pen,orange,44
159,Alice,pen,black,62
160,Dan,paint,pink,10
161,Carol,eraser,blue,67
162,Alice,paint,red,60
163,Bob,paint,white,11
164,Eve,paint,orange,80
165,Ger,paint,purple,15
166,Eve,pencil,orange,50
167,Harriet,eraser,black,83
168,Harriet,card,white,35
169,Fred,card,pink,67
170,Ger,pencil,purple,67
171,Ger,paper,blue,20
172,Harriet,paint,pink,67
173,Eve,pencil,orange,91
174,Eve,paint,orange,100
175,Eve,paint,green,10
176,Dan,pencil,pink,4
177,Bob,pen,green,7
178,Alice,card,green,9
179,Carol,paint,pink,61
180,Harriet,paper,blue,80
181,Fred,card,black,78
182,Eve,paint,red,64
183,Harriet,eraser,blue,18
184,Dan,card,blue,75
185,Carol,card,orange,4
186,Eve,paint,blue,61
187,Ger,card,pink,56
188,Ger,pencil,green,59
189,Harriet,pencil,purple,99
190,Carol,pen,blue,27
191,Ger,pen,blue,91
192,Fred,paint,green,54
193,Carol,card,purple,97
194,Dan,pen,purple,96
195,Fred,paint,white,100
196,Carol,eraser,blue,22
197,Ger,paper,orange,42
198,Eve,eraser,black,89
199,Ger,eraser,pink,95
200,Eve,pen,green,70
201,Bob,card,red,100
202,Ger,paper,green,52
203,Fred,paper,black,32
204,Alice,card,purple,76
205,Eve,paint,purple,27
206,Fred,eraser,orange,60
207,Ger,pencil,red,41
208,Carol,pen,black,43
209,Ger,pen,red,8
210,Alice,eraser,blue,44
211,Alice,pen,black,88
212,Fred,card,orange,92
213,Dan,paint,red,66
214,Alice,pen,pink,96
215,Bob,pencil,green,75
216,Eve,paint,pink,63
217,Dan,eraser,blue,17
218,Fred,pen,black,38
219,Carol,eraser,green,37
220,Bob,pen,blue,41
221,Eve,pencil,blue,85
222,Carol,paint,blue,21
223,Eve,paper,blue,64
224,Fred,eraser,white,84
225,Bob,paint,black,35
226,Ger,eraser,blue,100
227,Harriet,paint,green,60
228,Harriet,paint,orange,58
229,Eve,paint,red,42
230,Ger,pen,blue,56
231,Fred,paint,red,65
232,Eve,pen,orange,74
233,Eve,pencil,green,64
234,Fred,pen,red,51
235,Fred,paper,black,44
236,Bob,pen,green,36
237,Ger,paper,purple,16
238,Carol,pencil,pink,68
239,Alice,paper,green,2
240,Ger,pencil,blue,2
241,Fred,card,pink,25
242,Harriet,paper,blue,30
243,Harriet,paper,white,27
244,Harriet,eraser,red,68
245,Ger,card,pink,70
246,Carol,eraser,white,45
247,Fred,pen,orange,30
248,Alice,paint,green,24
249,Bob,paper,blue,35
250,Eve,card,white,38
251,Bob,paint,pink,97
252,Bob,pen,green,56
253,Eve,paint,red,43
254,Harriet,paper,blue,25
255,Alice,pen,pink,89
256,Ger,pencil,green,55
257,Eve,paint,blue,87
258,Bob,pencil,purple,74
259,Ger,paint,blue,41
260,Alice,pen,white,34
261,Dan,pen,purple,73
262,Alice,paint,red,88
263,Carol,eraser,black,72
264,Eve,eraser,white,100
265,Ger,paint,black,10
266,Carol,pencil,red,40
267,Eve,pencil,green,39
268,Fred,paper,white,32
269,Fred,card,black,77
270,Alice,paper,red,55
271,Ger,paint,purple,41
272,Bob,card,green,100
273,Harriet,paint,orange,54
274,Bob,card,red,89
275,Harriet,paper,green,49
276,Harriet,pen,green,62
277,Dan,paper,purple,81
278,Alice,pencil,purple,86
279,Dan,paper,red,80
280,Carol,card,orange,20
281,Fred,pen,black,98
282,Alice,pencil,black,13
283,Alice,paint,pink,40
284,Carol,pen,blue,2
285,Harriet,paint,green,1
286,Alice,eraser,purple,33
287,Eve,paint,orange,26
288,Eve,eraser,black,42
289,Fred,eraser,purple,54
290,Harriet,paint,pink,62
291,Carol,paint,purple,5
292,Fred,eraser,white,59
293,Carol,pen,orange,70
294,Alice,eraser,purple,65
295,Alice,card,blue,7
296,Fred,paint,black,86
297,Alice,paper,purple,40
298,Alice,eraser,red,6
299,Dan,eraser,white,87
300,Alice,paper,purple,35
301,Carol,paint,black,61
302,Carol,pencil,pink,97
303,Dan,eraser,pink,8
304,Carol,paper,blue,51
305,Alice,card,black,33
306,Fred,card,green,98
307,Dan,pen,white,48
308,Bob,paint,purple,21
309,Harriet,pencil,orange,26
310,Ger,pen,red,94
311,Ger,paper,red,22
312,Fred,eraser,pink,44
313,Harriet,pen,pink,96
314,Harriet,pencil,blue,32
315,Dan,pencil,purple,23
316,Dan,eraser,green,85
317,Alice,pen,red,31
318,Fred,eraser,orange,83
319,Harriet,pen,red,6
320,Fred,pen,purple,60
321,Ger,card,purple,29
322,Eve,pencil,purple,42
323,Bob,card,black,77
324,Ger,pencil,orange,99
325,Eve,card,red,50
326,Eve,paper,black,98
327,Ger,pen,white,14
328,Carol,eraser,red,59
329,Bob,pen,blue,4
330,Carol,card,green,86
331,Bob,paper,purple,54
332,Carol,eraser,green,66
333,Ger,card,pink,28
334,Bob,pencil,pink,81
335,Fred,card,blue,78
336,Carol,card,red,61
337,Harriet,pencil,green,21
338,Eve,pen,purple,1
339,Eve,pen,blue,74
340,Fred,eraser,pink,37
341,Dan,paper,pink,98
342,Fred,pencil,white,92
343,Carol,eraser,purple,65
344,Carol,eraser,black,67
345,Harriet,paper,red,89
346,Ger,paint,red,98
347,Carol,eraser,white,15
348,Harriet,paint,orange,48
349,Dan,card,pink,31
350,Bob,paint,orange,91
351,Alice,eraser,green,81
352,Alice,pen,pink,44
353,Alice,card,green,73
354,Ger,card,green,71
355,Alice,paint,blue,22
356,Ger,pencil,blue,51
357,Alice,paper,white,53
358,Bob,paper,red,6
359,Eve,paint,blue,46
360,Dan,pencil,orange,36
361,Bob,eraser,orange,65
362,Harriet,card,red,19
363,Harriet,paper,pink,97
364,Eve,pencil,red,52
365,Carol,card,white,95
366,Harriet,card,white,88
367,Fred,card,white,97
368,Dan,paint,white,98
369,Ger,paper,red,28
370,Bob,eraser,green,45
371,Ger,card,orange,36
372,Carol,eraser,black,12
373,Alice,pen,blue,88
374,Dan,pencil,purple,33
375,Dan,paper,black,94
376,Alice,pencil,green,8
377,Dan,pencil,red,54
378,Dan,paint,blue,54
379,Eve,pencil,black,22
380,Harriet,pen,purple,47
381,Bob,paint,pink,12
382,Eve,pen,purple,73
383,Carol,paper,orange,63
384,Dan,eraser,red,38
385,Fred,eraser,purple,88
386,Fred,pen,green,19
387,Ger,pen,white,59
388,Bob,pen,red,53
389,Carol,paper,pink,23
390,Harriet,paint,red,89
391,Fred,paint,blue,45
392,Dan,pencil,green,28
393,Alice,card,pink,99
394,Ger,eraser,pink,19
395,Bob,pencil,white,16
396,Fred,paint,pink,27
397,Fred,pencil,pink,89
398,Ger,card,red,67
399,Harriet,paint,purple,62
400,Bob,paint,white,75
401,Ger,paper,pink,8
402,Fred,pencil,green,43
403,Eve,paint,red,8
404,Dan,pencil,blue,50
405,Fred,card,red,57
406,Harriet,paper,green,68
407,Fred,card,white,28
408,Harriet,pen,green,3
409,Bob,card,white,1
410,Dan,paper,orange,70
411,Dan,paint,orange,3
412,Ger,paint,black,10
413,Fred,eraser,orange,92
414,Fred,paint,black,37
415,Ger,pen,green,41
416,Harriet,paint,black,4
417,Ger,card,green,3
418,Harriet,pencil,black,34
419,Bob,pen,black,38
420,Fred,pen,orange,62
421,Harriet,paint,red,46
422,Harriet,pen,red,41
423,Dan,pencil,orange,64
424,Bob,paper,purple,27
425,Carol,card,purple,82
426,Eve,card,pink,10
427,Fred,eraser,purple,1
428,Alice,eraser,green,94
429,Dan,paint,blue,25
430,Carol,card,black,100
431,Fred,paint,green,44
432,Bob,card,orange,27
433,Eve,paper,purple,51
434,Harriet,pencil,purple,67
435,Alice,paint,white,78
436,Eve,eraser,white,73
437,Fred,card,white,53
438,Fred,pen,red,83
439,Dan,eraser,purple,75
440,Ger,paper,blue,66
441,Eve,paint,blue,27
442,Carol,pencil,purple,57
443,Harriet,paper,black,4
444,Ger,pen,purple,49
445,Fred,paper,purple,87
446,Fred,pen,white,32
447,Eve,card,green,1
448,Alice,eraser,black,49
449,Alice,paper,purple,86
450,Eve,pen,orange,80
451,Dan,paper,red,22
452,Harriet,eraser,orange,19
453,Dan,paint,blue,54
454,Dan,pen,orange,60
455,Harriet,paint,black,48
456,Carol,paper,orange,45
457,Ger,eraser,red,82
458,Dan,paper,white,2
459,Ger,eraser,green,37
460,Carol,eraser,white,25
461,Fred,card,purple,83
462,Alice,eraser,white,43
463,Eve,card,black,20
464,Fred,eraser,blue,42
465,Fred,paper,black,43
466,Eve,eraser,orange,92
467,Fred,paint,orange,76
468,Eve,eraser,orange,99
469,Ger,paint,black,73
470,Eve,card,green,84
471,Fred,paint,purple,4
472,Carol,eraser,orange,25
473,Bob,paper,orange,69
474,Ger,pen,black,90
475,Fred,paper,black,35
476,Carol,paint,blue,92
477,Harriet,eraser,pink,70
478,Bob,pen,purple,62
479,Ger,card,red,80
480,Harriet,card,blue,59
481,Ger,paint,red,73
482,Alice,pencil,white,2
483,Dan,paint,blue,40
484,Dan,pen,red,58
485,Eve,pen,blue,31
486,Fred,eraser,pink,90
487,Dan,paint,white,2
488,Alice,pen,white,62
489,Harriet,pencil,blue,96
490,Alice,paint,purple,17
491,Alice,eraser,orange,100
492,Alice,card,purple,63
493,Dan,eraser,pink,79
494,Ger,pencil,purple,18
495,Eve,paint,blue,29
496,Alice,paper,orange,8
497,Dan,pencil,blue,53
498,Carol,paper,red,100
499,Carol,paper,pink,98
500,Alice,card,white,56
501,Bob,paper,green,51
502,Ger,pencil,orange,65
503,Harriet,pen,orange,31
504,Harriet,card,orange,96
505,Carol,pen,white,46
506,Dan,paper,green,80
507,Ger,paper,green,59
508,Harriet,paper,black,93
509,Dan,pencil,orange,41
510,Eve,paint,green,36
511,Carol,paper,red,5
512,Carol,eraser,purple,94
513,Dan,paper,black,58
514,Bob,pencil,green,50
515,Dan,pencil,orange,17
516,Dan,pen,white,47
517,Eve,card,purple,10
518,Dan,paint,orange,29
519,Bob,pen,orange,57
520,Dan,pen,pink,10
521,Fred,pen,white,11
522,Harriet,eraser,pink,57
523,Bob,pencil,orange,94
524,Dan,paint,pink,19
525,Ger,eraser,green,57
526,Eve,eraser,black,21
527,Bob,pencil,white,51
528,Ger,paint,white,88
529,Bob,paper,pink,21
530,Ger,paint,orange,15
531,Carol,card,white,51
532,Carol,paint,pink,7
533,Dan,pencil,green,14
534,Fred,pencil,red,73
535,Carol,eraser,blue,1
536,Alice,eraser,black,49
537,Ger,paint,orange,93
538,Carol,paint,green,2
539,Alice,pen,green,23
540,Harriet,paint,orange,91
541,Eve,paper,orange,63
542,Eve,paper,green,88
543,Alice,paint,black,53
544,Fred,pen,red,44
545,Harriet,pencil,purple,20
546,Dan,card,orange,69
547,Bob,card,purple,10
548,Fred,pen,pink,30
549,Carol,paper,pink,19
550,Carol,pencil,green,11
551,Alice,paint,green,56
552,Eve,paint,pink,94
553,Eve,paint,black,73
554,Alice,card,pink,14
555,Ger,pen,blue,4
556,Bob,paper,red,81
557,Harriet,card,pink,49
558,Dan,paint,orange,42
559,Ger,pen,pink,68
560,Dan,paint,pink,70
561,Harriet,eraser,red,75
562,Fred,paper,red,78
563,Harriet,pen,green,17
564,Carol,pencil,pink,58
565,Harriet,card,purple,17
566,Fred,eraser,white,27
567,Carol,eraser,purple,41
568,Fred,paint,green,52
569,Ger,pencil,red,45
570,Eve,pencil,purple,52
571,Alice,card,pink,24
572,Carol,paint,orange,3
573,Bob,paint,green,2
574,Carol,eraser,purple,26
575,Harriet,pen,white,10
576,Eve,paint,green,67
577,Carol,paper,green,68
578,Carol,pencil,purple,7
579,Fred,pencil,white,49
580,Carol,pencil,red,61
581,Dan,pen,purple,63
582,Fred,pen,pink,43
583,Harriet,pen,red,65
584,Harriet,pen,blue,50
585,Dan,card,red,82
586,Harriet,card,orange,36
587,Dan,pen,black,38
588,Dan,card,white,66
589,Ger,pencil,orange,57
590,Dan,paper,pink,85
591,Dan,paint,pink,52
592,Harriet,paper,red,28
593,Alice,paint,white,22
594,Dan,pencil,purple,29
595,Fred,pen,green,22
596,Fred,pencil,black,97
597,Alice,paper,pink,2
598,Eve,paper,purple,77
599,Dan,eraser,pink,69
600,Harriet,pen,black,61
601,Carol,paper,blue,37
602,Bob,pencil,purple,13
603,Harriet,paper,purple,25
604,Carol,paper,pink,88
605,Eve,pencil,orange,92
606,Eve,paint,orange,12
607,Harriet,paper,purple,72
608,Ger,eraser,pink,7
609,Carol,card,purple,2
610,Ger,paper,blue,21
611,Fred,paper,orange,45
612,Harriet,pencil,black,53
613,Ger,paper,orange,38
614,Dan,paint,pink,100
615,Fred,pencil,orange,60
616,Alice,paper,green,28
617,Alice,eraser,orange,88
618,Eve,paint,orange,28
619,Fred,pencil,pink,86
620,Carol,pen,blue,54
621,Carol,eraser,pink,97
622,Harriet,paint,red,38
623,Eve,paper,pink,52
624,Ger,pencil,blue,53
625,Ger,eraser,red,45
626,Carol,paper,black,74
627,Ger,eraser,red,35
628,Harriet,pen,black,93
629,Fred,paint,blue,12
630,Alice,eraser,white,68
631,Dan,paint,blue,20
632,Eve,card,purple,86
633,Ger,paint,black,79
634,Eve,pen,black,46
635,Harriet,eraser,green,93
636,Harriet,card,red,64
637,Fred,pencil,white,21
638,Fred,card,red,94
639,Ger,pencil,black,17
640,Harriet,pencil,black,90
641,Harriet,pencil,pink,52
642,Eve,eraser,red,89
643,Ger,paint,black,14
644,Alice,card,orange,80
645,Eve,paint,white,74
646,Ger,paint,green,29
647,Bob,card,green,27
648,Dan,card,red,11
649,Fred,card,white,56
650,Harriet,card,green,84
651,Bob,pen,white,88
652,Bob,card,white,60
653,Dan,pencil,green,57
654,Carol,pen,purple,63
655,Ger,card,blue,81
656,Harriet,paint,white,92
657,Dan,pencil,purple,17
658,Eve,eraser,white,58
659,Eve,pencil,blue,7
660,Fred,card,purple,22
661,Carol,paint,black,100
662,Dan,paper,pink,58
663,Dan,paper,red,36
664,Bob,paper,orange,15
665,Dan,card,orange,15
666,Harriet,pencil,black,88
667,Fred,paper,orange,92
668,Eve,eraser,red,27
669,Harriet,paint,white,46
670,Dan,pen,orange,84
671,Carol,pencil,pink,51
672,Harriet,eraser,green,8
673,Alice,card,white,52
674,Alice,pencil,red,77
675,Carol,pen,white,80
676,Ger,paper,purple,99
677,Fred,paper,purple,45
678,Fred,pencil,pink,67
679,Carol,paper,orange,74
680,Dan,paper,blue,26
681,Eve,paper,green,98
682,Harriet,card,black,94
683,Fred,paint,blue,1
684,Carol,paint,red,14
685,Ger,card,pink,39
686,Eve,card,red,92
687,Eve,eraser,red,46
688,Dan,card,white,44
689,Bob,card,red,33
690,Carol,pen,orange,67
691,Alice,pen,red,59
692,Bob,paint,white,64
693,Harriet,paint,blue,63
694,Ger,pen,pink,75
695,Carol,pen,purple,62
696,Eve,pencil,purple,31
697,Bob,eraser,orange,3
698,Harriet,paint,red,31
699,Ger,pen,orange,10
700,Fred,paint,pink,1
701,Bob,paper,pink,51
702,Dan,paint,orange,91
703,Dan,pencil,green,72
704,Fred,pen,purple,32
705,Carol,pen,black,99
706,Eve,pen,black,80
707,Ger,pencil,purple,23
708,Ger,paint,blue,36
709,Harriet,paper,purple,45
710,Harriet,card,purple,68
711,Eve,paint,pink,79
712,Harriet,eraser,green,75
713,Alice,eraser,orange,85
714,Alice,paint,white,87
715,Bob,card,purple,58
716,Harriet,pencil,purple,66
717,Fred,paper,pink,22
718,Fred,card,white,46
719,Fred,pen,red,65
720,Alice,pen,green,18
721,Fred,card,pink,69
722,Eve,paper,pink,21
723,Bob,paint,black,37
724,Harriet,eraser,pink,39
725,Dan,eraser,green,45
726,Ger,paper,green,84
727,Harriet,eraser,red,66
728,Ger,paint,black,36
729,Alice,eraser,white,23
730,Carol,pencil,purple,97
731,Dan,card,green,31
732,Harriet,pen,purple,3
733,Eve,paper,black,55
734,Fred,pen,orange,68
735,Carol,eraser,black,19
736,Dan,eraser,white,32
737,Carol,paint,red,73
738,Carol,eraser,blue,33
739,Eve,pen,green,7
740,Carol,eraser,orange,32
741,Carol,pen,red,67
742,Harriet,paper,purple,68
743,Fred,paper,pink,18
744,Alice,pen,white,2
745,Ger,pencil,white,82
746,Eve,paint,white,77
747,Dan,paper,white,85
748,Ger,eraser,black,86
749,Dan,paint,black,43
750,Carol,eraser,green,53
751,Dan,paint,purple,24
752,Carol,pencil,purple,40
753,Bob,card,white,54
754,Alice,paint,pink,59
755,Ger,eraser,pink,38
756,Dan,pencil,blue,8
757,Harriet,paint,pink,84
758,Fred,paper,orange,6
759,Carol,paper,black,72
760,Bob,paint,blue,27
761,Harriet,card,red,66
762,Dan,pen,white,91
763,Alice,pen,green,14
764,Harriet,pen,purple,70
765,Harriet,pen,orange,11
766,Eve,card,blue,53
767,Eve,eraser,green,39
768,Alice,pencil,purple,45
769,Fred,pen,black,100
770,Dan,paper,red,71
771,Carol,paint,orange,54
772,Bob,card,black,71
773,Ger,card,red,63
774,Alice,eraser,orange,6
775,Harriet,pen,white,60
776,Dan,paint,red,88
777,Eve,paper,white,6
778,Carol,pencil,red,27
779,Carol,paper,pink,50
780,Dan,pen,red,56
781,Fred,paper,white,20
782,Carol,pen,blue,24
783,Bob,pen,black,95
784,Bob,eraser,black,49
785,Eve,pen,purple,6
786,Eve,pencil,purple,88
787,Bob,pencil,green,88
788,Fred,card,red,42
789,Carol,pencil,pink,79
790,Ger,eraser,pink,77
791,Carol,paper,white,92
792,Bob,eraser,pink,16
793,Dan,eraser,green,54
794,Alice,pencil,orange,48
795,Fred,paint,green,69
796,Harriet,eraser,white,41
797,Harriet,card,purple,36
798,Fred,paint,purple,100
799,Alice,eraser,purple,26
800,Ger,eraser,white,86
801,Alice,card,red,36
802,Eve,pencil,black,5
803,Fred,pen,red,73
804,Eve,paint,blue,19
805,Ger,eraser,blue,27
806,Dan,paper,blue,51
807,Dan,card,purple,34
808,Eve,card,green,7
809,Ger,card,white,38
810,Carol,eraser,blue,25
811,Eve,pen,orange,15
812,Alice,pencil,green,65
813,Harriet,card,blue,55
814,Dan,pen,purple,49
815,Dan,paint,pink,19
816,Carol,pencil,green,6
817,Bob,eraser,green,52
818,Harriet,paper,blue,43
819,Dan,paper,purple,30
820,Carol,eraser,pink,67
821,Harriet,pencil,red,3
822,Bob,card,red,23
823,Eve,card,pink,60
824,Harriet,eraser,blue,66
825,Carol,eraser,pink,7
826,Dan,eraser,blue,9
827,Dan,pencil,pink,23
828,Dan,pencil,green,30
829,Carol,paper,green,30
830,Ger,pencil,white,72
831,Harriet,pen,black,42
832,Dan,card,white,24
833,Carol,eraser,black,41
834,Eve,eraser,orange,74
835,Alice,card,orange,92
836,Dan,paper,red,34
837,Dan,paper,pink,95
838,Carol,paper,black,87
839,Bob,card,white,11
840,Eve,pencil,orange,16
841,Fred,pen,green,41
842,Ger,pencil,pink,29
843,Dan,paper,purple,41
844,Eve,pencil,purple,18
845,Fred,pencil,green,40
846,Alice,pen,white,42
847,Eve,eraser,red,57
848,Harriet,paint,white,87
849,Carol,pen,red,19
850,Dan,pen,purple,74
851,Carol,pencil,pink,12
852,Eve,eraser,blue,84
853,Carol,pencil,red,82
854,Fred,paint,orange,59
855,Dan,paper,blue,77
856,Dan,paint,black,38
857,Ger,pen,orange,67
858,Fred,card,orange,88
859,Bob,paper,black,44
860,Alice,pen,white,72
861,Eve,card,orange,31
862,Dan,paint,pink,20
863,Fred,paint,orange,86
864,Fred,eraser,red,42
865,Dan,card,pink,15
866,Ger,pen,blue,59
867,Harriet,pencil,blue,3
868,Fred,pen,pink,31
869,Carol,paint,white,88
870,Fred,eraser,red,4
871,Harriet,pencil,blue,63
872,Fred,card,pink,13
873,Bob,paper,white,4
874,Carol,paint,white,89
875,Carol,paper,black,2
876,Ger,eraser,orange,56
877,Dan,paint,pink,41
878,Bob,paper,orange,2
879,Alice,pen,blue,38
880,Alice,pen,pink,44
881,Carol,pencil,green,60
882,Fred,pencil,white,23
883,Fred,paint,white,56
884,Dan,eraser,red,90
885,Ger,eraser,blue,27
886,Alice,pen,black,56
887,Harriet,eraser,black,17
888,Eve,paper,black,9
889,Bob,paper,purple,70
890,Dan,paper,orange,69
891,Dan,card,green,52
892,Bob,pencil,blue,71
893,Dan,eraser,white,58
894,Bob,card,purple,73
895,Bob,eraser,blue,26
896,Dan,pencil,pink,76
897,Fred,paint,green,29
898,Ger,pen,purple,27
899,Bob,pen,orange,6
900,Fred,pencil,pink,94
901,Alice,card,white,8
902,Eve,pencil,blue,98
903,Harriet,pen,green,91
904,Bob,paper,orange,44
905,Alice,eraser,white,59
906,Harriet,card,red,19
907,Alice,paper,green,62
908,Alice,eraser,purple,15
909,Harriet,pencil,black,10
910,Ger,card,blue,76
911,Harriet,eraser,black,39
912,Carol,eraser,blue,2
913,Alice,pencil,orange,98
914,Harriet,paint,orange,33
915,Fred,paint,green,49
916,Bob,pencil,pink,17
917,Carol,pencil,orange,74
918,Ger,card,white,16
919,Eve,pencil,purple,62
920,Fred,eraser,white,18
921,Alice,pencil,green,84
922,Eve,pencil,white,65
923,Eve,pen,black,41
924,Harriet,paint,white,57
925,Fred,paper,black,68
926,Dan,card,pink,66
927,Alice,pen,purple,49
928,Dan,paint,white,51
929,Ger,pencil,orange,61
930,Ger,eraser,red,38
931,Dan,card,red,78
932,Carol,pen,green,40
933,Alice,paper,orange,57
934,Harriet,pen,white,34
935,Fred,paper,red,72
936,Bob,card,white,68
937,Alice,pencil,blue,82
938,Carol,eraser,green,69
939,Harriet,card,black,48
940,Ger,eraser,blue,62
941,Carol,pencil,black,57
942,Alice,pen,orange,1
943,Eve,eraser,black,52
944,Fred,paper,blue,2
945,Harriet,card,white,15
946,Alice,eraser,pink,32
947,Harriet,pencil,black,66
948,Eve,paint,purple,5
949,Bob,pen,purple,10
950,Fred,pencil,red,49
951,Bob,pen,black,99
952,Alice,paper,orange,12
953,Eve,paint,black,32
954,Dan,pen,pink,44
955,Fred,card,green,24
956,Bob,card,purple,97
957,Dan,card,green,58
958,Carol,eraser,purple,53
959,Alice,paint,white,9
960,Fred,card,orange,24
961,Dan,eraser,orange,56
962,Dan,pen,orange,74
963,Ger,pen,black,96
964,Dan,paper,red,9
965,Fred,card,pink,30
966,Ger,paint,pink,65
967,Harriet,paper,white,59
968,Fred,paper,pink,35
969,Eve,eraser,orange,71
970,Ger,pencil,green,7
971,Carol,paper,red,12
972,Bob,pen,orange,88
973,Fred,card,pink,52
974,Eve,pen,blue,35
975,Dan,pen,blue,33
976,Eve,paper,purple,7
977,Fred,card,blue,23
978,Alice,pen,white,98
979,Dan,pencil,black,29
980,Bob,pen,green,9
981,Harriet,pencil,black,74
982,Dan,pen,purple,93
983,Fred,pencil,orange,44
984,Alice,eraser,purple,90
985,Alice,eraser,pink,26
986,Eve,paper,orange,36
987,Harriet,paint,orange,86
988,Bob,card,pink,48
989,Fred,pencil,black,77
990,Carol,pencil,red,28
991,Alice,card,orange,98
992,Bob,pencil,black,70
993,Ger,pen,pink,9
994,Bob,paint,green,44
995,Dan,eraser,orange,10
996,Dan,paint,blue,95
997,Eve,paint,white,54
998,Ger,card,pink,61
999,Bob,pencil,red,79
1000,Dan,pen,orange,45
1001,Harriet,paper,orange,94
1002,Bob,pencil,black,51
1003,Ger,card,green,80
1004,Fred,paint,green,44
1005,Dan,pencil,purple,55
1006,Harriet,pencil,red,48
1007,Dan,paper,green,72
1008,Eve,eraser,blue,79
1009,Eve,pen,white,6
1010,Harriet,paper,blue,9
